,JPY/USD
2014/1/2,104.86
2014/1/3,104.47
2014/1/6,104.4
2014/1/7,104.6
2014/1/8,104.89
2014/1/9,104.74
2014/1/10,104.07
2014/1/13,103.32
2014/1/14,103.84
2014/1/15,104.42
2014/1/16,104.36
2014/1/17,104.29
2014/1/20,104.2
2014/1/21,104.2
2014/1/22,104.33
2014/1/23,103.63
2014/1/24,102.43
2014/1/27,102.29
2014/1/28,102.84
2014/1/29,102.18
2014/1/30,102.86
2014/1/31,102.29
2014/2/3,101.15
2014/2/4,101.61
2014/2/5,101.38
2014/2/6,101.9
2014/2/7,102.3
2014/2/10,102.11
2014/2/11,102.65
2014/2/12,102.45
2014/2/13,102.23
2014/2/14,101.86
2014/2/18,102.27
2014/2/19,102.27
2014/2/20,102.34
2014/2/21,102.75
2014/2/24,102.48
2014/2/25,102.16
2014/2/26,102.37
2014/2/27,102.11
2014/2/28,102.07
2014/3/3,101.39
2014/3/4,102.15
2014/3/5,102.32
2014/3/6,103.06
2014/3/7,103.35
2014/3/10,103.21
2014/3/11,103.21
2014/3/12,102.69
2014/3/13,102.1
2014/3/14,101.44
2014/3/17,101.67
2014/3/18,101.33
2014/3/19,101.53
2014/3/20,102.37
2014/3/21,102.42
2014/3/24,102.25
2014/3/25,102.34
2014/3/26,102.32
2014/3/27,102.1
2014/3/28,102.92
2014/3/31,103.01
2014/4/1,103.54
2014/4/2,103.77
2014/4/3,103.91
2014/4/4,103.37
2014/4/7,103.01
2014/4/8,102.07
2014/4/9,101.9
2014/4/10,101.41
2014/4/11,101.58
2014/4/14,101.86
2014/4/15,101.58
2014/4/16,102.3
2014/4/17,102.21
2014/4/21,102.62
2014/4/22,102.57
2014/4/23,102.24
2014/4/24,102.39
2014/4/25,102.15
2014/4/28,102.44
2014/4/29,102.55
2014/4/30,102.12
2014/5/1,102.29
2014/5/2,102.36
2014/5/5,102.1
2014/5/6,101.59
2014/5/7,101.74
2014/5/8,101.67
2014/5/9,101.77
2014/5/12,102.13
2014/5/13,102.18
2014/5/14,101.75
2014/5/15,101.46
2014/5/16,101.51
2014/5/20,101.31
2014/5/21,101.42
2014/5/22,101.76
2014/5/23,101.87
2014/5/26,101.92
2014/5/27,102.15
2014/5/28,101.75
2014/5/29,101.57
2014/5/30,101.75
2014/6/2,102.3
2014/6/3,102.39
2014/6/4,102.69
2014/6/5,102.47
2014/6/6,102.49
2014/6/9,102.54
2014/6/10,102.39
2014/6/11,101.94
2014/6/12,101.79
2014/6/13,102.05
2014/6/16,101.78
2014/6/17,102.18
2014/6/18,102.16
2014/6/19,101.86
2014/6/20,102.14
2014/6/23,101.91
2014/6/24,102.09
2014/6/25,101.72
2014/6/26,101.68
2014/6/27,101.39
2014/6/30,101.29
2014/7/2,101.78
2014/7/3,102.15
2014/7/4,102.1
2014/7/7,101.83
2014/7/8,101.56
2014/7/9,101.72
2014/7/10,101.31
2014/7/11,101.32
2014/7/14,101.53
2014/7/15,101.66
2014/7/16,101.7
2014/7/17,101.25
2014/7/18,101.39
2014/7/21,101.39
2014/7/22,101.56
2014/7/23,101.52
2014/7/24,101.82
2014/7/25,101.83
2014/7/28,101.8
2014/7/29,102.08
2014/7/30,102.92
2014/7/31,102.74
2014/8/1,102.43
2014/8/5,102.81
2014/8/6,102.3
2014/8/7,102.07
2014/8/8,101.87
2014/8/11,102.1
2014/8/12,102.18
2014/8/13,102.52
2014/8/14,102.45
2014/8/15,102.25
2014/8/18,102.53
2014/8/19,102.81
2014/8/20,103.34
2014/8/21,103.77
2014/8/22,103.99
2014/8/25,103.98
2014/8/26,104.1
2014/8/27,104.02
2014/8/28,103.8
2014/8/29,104
2014/9/2,105.15
2014/9/3,104.85
2014/9/4,105.26
2014/9/5,104.91
2014/9/8,105.63
2014/9/9,106.29
2014/9/10,106.77
2014/9/11,106.9
2014/9/12,107.22
2014/9/15,107.19
2014/9/16,106.91
2014/9/17,107.58
2014/9/18,108.7
2014/9/19,108.93
2014/9/22,108.88
2014/9/23,108.86
2014/9/24,108.94
2014/9/25,108.67
